1969-12-31 16:00:02.564355 (+0.000000 s): isr_enter
1969-12-31 16:00:02.564393 (+0.000038 s): isr_exit
1969-12-31 16:00:02.664304 (+0.099911 s): semaphore_give_enter (536892928)
1969-12-31 16:00:02.664323 (+0.000018 s): semaphore_give_exit (536892928)
1969-12-31 16:00:02.965615 (+0.301293 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:02.965647 (+0.000031 s): thread_switched_in: thread_a 
1969-12-31 16:00:02.965674 (+0.000027 s): semaphore_give_enter (536892908)
1969-12-31 16:00:02.965695 (+0.000022 s): semaphore_give_exit (536892908)
1969-12-31 16:00:02.965714 (+0.000018 s): semaphore_take_enter (536892888)
1969-12-31 16:00:02.965732 (+0.000019 s): semaphore_take_blocking (536892888)
1969-12-31 16:00:02.965760 (+0.000028 s): thread_switched_out: thread_a 
1969-12-31 16:00:02.965792 (+0.000031 s): thread_switched_in: thread_b 
1969-12-31 16:00:02.965813 (+0.000021 s): semaphore_take_exit (536892908)
1969-12-31 16:00:02.969599 (+0.003786 s): thread_switched_out: thread_b 
1969-12-31 16:00:02.969631 (+0.000032 s): thread_switched_in: tracing_thread 
1969-12-31 16:00:03.469615 (+0.499985 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:03.469647 (+0.000031 s): thread_switched_in: thread_b 
1969-12-31 16:00:03.469674 (+0.000027 s): semaphore_give_enter (536892888)
1969-12-31 16:00:03.469695 (+0.000022 s): semaphore_give_exit (536892888)
1969-12-31 16:00:03.469714 (+0.000018 s): semaphore_take_enter (536892908)
1969-12-31 16:00:03.469732 (+0.000019 s): semaphore_take_blocking (536892908)
1969-12-31 16:00:03.469760 (+0.000028 s): thread_switched_out: thread_b 
1969-12-31 16:00:03.469792 (+0.000031 s): thread_switched_in: thread_a 
1969-12-31 16:00:03.469813 (+0.000021 s): semaphore_take_exit (536892888)
1969-12-31 16:00:03.473599 (+0.003786 s): thread_switched_out: thread_a 
1969-12-31 16:00:03.473631 (+0.000032 s): thread_switched_in: tracing_thread 
1969-12-31 16:00:03.973615 (+0.499985 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:03.973647 (+0.000031 s): thread_switched_in: thread_a 
1969-12-31 16:00:03.973674 (+0.000027 s): semaphore_give_enter (536892908)
1969-12-31 16:00:03.973695 (+0.000022 s): semaphore_give_exit (536892908)
1969-12-31 16:00:03.973714 (+0.000018 s): semaphore_take_enter (536892888)
1969-12-31 16:00:03.973732 (+0.000019 s): semaphore_take_blocking (536892888)
1969-12-31 16:00:03.973760 (+0.000028 s): thread_switched_out: thread_a 
1969-12-31 16:00:03.973792 (+0.000032 s): thread_switched_in: thread_b 
1969-12-31 16:00:03.973813 (+0.000021 s): semaphore_take_exit (536892908)
1969-12-31 16:00:03.977599 (+0.003786 s): thread_switched_out: thread_b 
1969-12-31 16:00:03.977631 (+0.000032 s): thread_switched_in: tracing_thread 
1969-12-31 16:00:04.477615 (+0.499985 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:04.477647 (+0.000031 s): thread_switched_in: thread_b 
1969-12-31 16:00:04.477674 (+0.000027 s): semaphore_give_enter (536892888)
1969-12-31 16:00:04.477695 (+0.000022 s): semaphore_give_exit (536892888)
